image_id,work_id,miro_image_number,title,description,work_type,contributors,subjects,genres,license_id,license_label,license_url,credit,access_status,aspect_ratio,average_color,iiif_image_id,iiif_info_url,thumbnail_url,full_image_url,work_page_url,image_page_url,filename
an5qfqpq,remsgceg,W0043368,Leprosy: skin,"Borderline tuberculoid (BT) leprosy: skin

This is a medium power view of a skin section from a patient with BT. It shows brown HLA-DR staining in macrophages and in the epidermis. Immunostain with monoclonal antibody 1B5. 

This epidermal staining is not normal. HLA-DR expression by the epidermal cells has been switched on by secretion of cytokines from the underlying granulomatous inflammation. Lymphocytes react to the presence of <I>Mycobacterium leprae </I> antigen by secreting interferon-gamma, which up-regulates HLA-DR expression. 

A similar mechanism may underlie type 1 reaction. 

See images W003367 and W003367 for H&E stained sections from this patient.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5151515,#d1ccc0,W0043368,https://iiif.wellcomecollection.org/image/W0043368/info.json,"https://iiif.wellcomecollection.org/image/W0043368/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0043368/full/full/0/default.jpg,https://wellcomecollection.org/works/remsgceg,https://wellcomecollection.org/works/remsgceg/images?id=an5qfqpq,Leprosy_skin_Wellcome_W0043368.jpg
arhk3w9f,grb38faj,W0043356,Leprosy: skin,"Tuberculoid (TT) leprosy: skin

This is a low power view of a skin section from a person with TT. There is a granulomatous infiltrate in the upper dermis, which also involves the epidermis. Note the dense perivascular lymphocytosis. H&E stain.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5503876,#d7b2c0,W0043356,https://iiif.wellcomecollection.org/image/W0043356/info.json,"https://iiif.wellcomecollection.org/image/W0043356/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0043356/full/full/0/default.jpg,https://wellcomecollection.org/works/grb38faj,https://wellcomecollection.org/works/grb38faj/images?id=arhk3w9f,Leprosy_skin_Wellcome_W0043356.jpg
b5vufuxk,pj5584yp,W0047298,Lung: histoplasmosis,"Histoplasmosis

This is a high power view of the lung lesion shown in image W0047297. It shows several small black-staining yeasts within the necrotic material. These are <I>Histoplasma capsulatum </I>yeasts. Grocott silver stain.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.532567,#7ac6a5,W0047298,https://iiif.wellcomecollection.org/image/W0047298/info.json,"https://iiif.wellcomecollection.org/image/W0047298/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0047298/full/full/0/default.jpg,https://wellcomecollection.org/works/pj5584yp,https://wellcomecollection.org/works/pj5584yp/images?id=b5vufuxk,Lung_histoplasmosis_Wellcome_W0047298.jpg
b8z6gbqs,m56du77e,W0045999,Schistosomiasis: urinary bladder,"Schistosomiasis due to <I>Schistosoma haematobium</I>: histopathology of the urinary bladder

This is a medium power view of biopsy tissue taken from a patient 1 month after starting antischistosomal chemotherapy. H&E stain.

There are numerous well defined tuberculoid granulomas within the fibrotic suburothelial tissue. Some dead schistosome eggs can also be seen.

The inflammation of acute schistosomal cystitis may be granulomatous but is often more diffuse and flooded with eosinophils. After therapy a more granulomatous appearance, such as shown here, is often seen.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5267175,#be6d94,W0045999,https://iiif.wellcomecollection.org/image/W0045999/info.json,"https://iiif.wellcomecollection.org/image/W0045999/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0045999/full/full/0/default.jpg,https://wellcomecollection.org/works/m56du77e,https://wellcomecollection.org/works/m56du77e/images?id=b8z6gbqs,Schistosomiasis_urinary_bladder_Wellcome_W0045999.jpg
bc93zktu,ykmghwrd,W0043338,Leprosy: skin,"Borderline tuberculoid (BT) leprosy: skin

This high power view of a skin section shows a diagnostic granulomatous neuritis, diagnostic of BT. Within the epithelioid cell granuloma, there are a few Schwann cells and large numbers of lymphocytes around the granuloma.

Note the lack of defined edges between adjacent epithelioid cells, and their homogeneous, eosinophilic cytoplasm. H&E stain.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5151515,#c9adc2,W0043338,https://iiif.wellcomecollection.org/image/W0043338/info.json,"https://iiif.wellcomecollection.org/image/W0043338/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0043338/full/full/0/default.jpg,https://wellcomecollection.org/works/ykmghwrd,https://wellcomecollection.org/works/ykmghwrd/images?id=bc93zktu,Leprosy_skin_Wellcome_W0043338.jpg
c6gmysqs,c7vby83f,W0044334,Amoebiasis: amoebic abscess in liver,"Histopathology of the liver: amoebic abscess

This is a low power view of a whole mount section through a chronic amoebic liver abscess. The upper part of the picture shows the necrotic lining of the abscess cavity. 

Between the abscess and the liver parenchyma (bottom of picture) is a band of fibrous tissue due to chronic inflammation. On the left side is a thrombosed blood vessel. H&E stain.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.4134276,#ecbfdd,W0044334,https://iiif.wellcomecollection.org/image/W0044334/info.json,"https://iiif.wellcomecollection.org/image/W0044334/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0044334/full/full/0/default.jpg,https://wellcomecollection.org/works/c7vby83f,https://wellcomecollection.org/works/c7vby83f/images?id=c6gmysqs,Amoebiasis_amoebic_abscess_in_liver_Wellcome_W0044334.jpg
c8ps5qur,s2mvs7u4,W0043396,Lepromatous leprosy: lymph node,"Lepromatous leprosy (LL): lymph node

This is a high power view of a section of lymph node tissue from a case of LL. The paracortex is expanded by many macrophages. Some of the macrophages are foamy, while others contain globi. H&E stain.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5444015,#a36bac,W0043396,https://iiif.wellcomecollection.org/image/W0043396/info.json,"https://iiif.wellcomecollection.org/image/W0043396/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0043396/full/full/0/default.jpg,https://wellcomecollection.org/works/s2mvs7u4,https://wellcomecollection.org/works/s2mvs7u4/images?id=c8ps5qur,Lepromatous_leprosy_lymph_node_Wellcome_W0043396.jpg
cc3zff2t,yavssswh,W0043384,Lepromatous leprosy: histoid leprosy,"Lepromatous leprosy (LL): histoid leprosy

This is a low power view of a histoid leprosy nodule in the skin. There is a discrete inflammatory mass in the dermis. H&E stain.

Histoid leprosy occurs mainly in LL in relapse.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,0.65,#caa9ae,W0043384,https://iiif.wellcomecollection.org/image/W0043384/info.json,"https://iiif.wellcomecollection.org/image/W0043384/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0043384/full/full/0/default.jpg,https://wellcomecollection.org/works/yavssswh,https://wellcomecollection.org/works/yavssswh/images?id=cc3zff2t,Lepromatous_leprosy_histoid_leprosy_Wellcome_W0043384.jpg
cc6n7v5e,mc7nhh95,W0044402,Donovanosis (granuloma inguinale): skin lesion,"Histopathology of a skin lesion

This is a medium power view of a chronic skin lesion of donovanosis. There is infiltration of macrophages and plasma cells. There is also fibrous scarring in the lower half of the field. H&E stain.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5384616,#c372a4,W0044402,https://iiif.wellcomecollection.org/image/W0044402/info.json,"https://iiif.wellcomecollection.org/image/W0044402/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0044402/full/full/0/default.jpg,https://wellcomecollection.org/works/mc7nhh95,https://wellcomecollection.org/works/mc7nhh95/images?id=cc6n7v5e,Donovanosis_granuloma_inguinale_skin_lesion_Wellcome_W0044402.jpg
cys2b38p,z4prxtz5,W0043374,Leprosy: dermal nerve,"Tuberculoid (TT) leprosy: dermal nerve

This is a medium power view of a dermal nerve section, believed to be from a person with TT in reaction. The image shows granulomatous neuritis. There is central fibrinoid (red) and caseous (pink) necrosis. H&E stain

Such necrosis is indicative of a type 1 (reversal) reaction.

See image W0043373 for a low power view of this section.",Digital Images,SB Lucas,,,cc-0,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,SB Lucas,Open,1.5444015,#a699b9,W0043374,https://iiif.wellcomecollection.org/image/W0043374/info.json,"https://iiif.wellcomecollection.org/image/W0043374/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/W0043374/full/full/0/default.jpg,https://wellcomecollection.org/works/z4prxtz5,https://wellcomecollection.org/works/z4prxtz5/images?id=cys2b38p,Leprosy_dermal_nerve_Wellcome_W0043374.jpg
